brand,category,material,retailer,season,rating,discount_percent,original_price,current_price,date_scraped
Adidas,Jeans,Leather,Shoppers Stop,Winter,4.2,10,2117.49,1905.74,2025-10-24
Puma,Skirt,Silk,Amazon India,Monsoon,4.2,20,3497.52,2798.02,2025-10-24
HRX,Coat,Linen,Westside,Monsoon,3.6,70,8971.08,2691.32,2025-10-24
Nike,Coat,Blend,Reliance Trends,Winter,3.6,20,5121.4,4097.12,2025-10-24
HRX,Skirt,Wool,Max Fashion,Winter,4.1,40,2135.75,1281.45,2025-10-24
Peter England,Blazer,Blend,Flipkart,Spring,4.1,10,3011.4,2710.26,2025-10-24
US Polo Assn,Skirt,Denim,Flipkart,Summer,3.7,30,2289.81,1602.87,2025-10-24
Louis Philippe,Hoodie,Silk,Ajio,Summer,4.6,15,2824.54,2400.86,2025-10-24
Wrogn,Chinos,Blend,Lifestyle,Spring,4.2,40,2001.39,1200.84,2025-10-24
H&M,Dress,Polyester,Lifestyle,Winter,4.2,25,2752.05,2064.04,2025-10-24
Adidas,Chinos,Wool,Reliance Trends,All-Season,4.2,40,5506.56,3303.94,2025-10-24
Adidas,Skirt,Synthetic,Reliance Trends,Monsoon,4.0,30,1127.01,788.91,2025-10-24
HRX,Polo,Synthetic,Myntra,Winter,3.8,40,1336.83,802.1,2025-10-24
H&M,Shirt,Linen,Shoppers Stop,Winter,3.6,15,1820.63,1547.54,2025-10-24
Van Heusen,Chinos,Leather,Westside,Monsoon,4.1,15,4033.05,3428.09,2025-10-24
Mast & Harbour,Coat,Silk,Reliance Trends,Summer,3.9,10,3026.97,2724.27,2025-10-24
Puma,Chinos,Silk,Reliance Trends,Spring,4.1,20,3727.11,2981.69,2025-10-24
Wrogn,Chinos,Synthetic,Reliance Trends,Monsoon,4.0,30,534.21,373.95,2025-10-24
Breakbounce,Dress,Silk,Westside,Spring,3.5,15,3275.84,2784.46,2025-10-24
Nike,Blazer,Viscose,Shoppers Stop,Monsoon,3.6,15,3256.42,2767.96,2025-10-24
Calvin Klein,Dress,Leather,Max Fashion,Winter,4.9,40,13449.5,8069.7,2025-10-24
Louis Philippe,Jeans,Denim,Lifestyle,Summer,4.6,25,3986.87,2990.15,2025-10-24
Wrogn,Shirt,Blend,Shoppers Stop,Winter,3.8,40,1128.48,677.09,2025-10-24
Puma,Chinos,Linen,Lifestyle,Summer,3.6,25,2348.2,1761.15,2025-10-24
Van Heusen,Polo,Leather,Myntra,Winter,4.2,25,1827.67,1370.75,2025-10-24
Van Heusen,Pants,Leather,Flipkart,All-Season,4.6,10,2173.45,1956.1,2025-10-24
Zara,Jacket,Cotton,Lifestyle,Summer,4.7,40,9040.95,5424.57,2025-10-24
HRX,Shirt,Silk,Ajio,Spring,3.6,25,1026.99,770.24,2025-10-24
Raymond,T-Shirt,Leather,Amazon India,Spring,4.2,25,2040.64,1530.48,2025-10-24
Athena,Pants,Blend,Max Fashion,All-Season,3.6,0,906.1,906.1,2025-10-24
Roadster,Skirt,Linen,Lifestyle,Monsoon,4.1,15,996.08,846.67,2025-10-24
Raymond,Coat,Synthetic,Amazon India,Monsoon,4.7,0,2857.2,2857.2,2025-10-24
Roadster,Polo,Wool,Ajio,Monsoon,3.7,25,780.46,585.34,2025-10-24
Peter England,Jacket,Wool,Ajio,Winter,3.5,0,2901.9,2901.9,2025-10-24
Athena,Shirt,Denim,Reliance Trends,Spring,3.7,60,1044.35,417.74,2025-10-24
Vero Moda,Blazer,Viscose,Amazon India,All-Season,4.0,25,5497.34,4123.0,2025-10-24
Only,Jeans,Linen,Flipkart,Spring,3.5,10,2302.92,2072.63,2025-10-24
Allen Solly,T-Shirt,Viscose,Reliance Trends,Summer,4.1,50,1804.07,902.03,2025-10-24
H&M,Jeans,Denim,Myntra,Monsoon,4.2,15,1741.85,1480.57,2025-10-24
H&M,T-Shirt,Linen,Amazon India,Spring,4.0,15,1068.85,908.52,2025-10-24
Zara,T-Shirt,Cotton,Lifestyle,All-Season,4.6,20,1456.12,1164.9,2025-10-24
Vero Moda,Jeans,Synthetic,Myntra,All-Season,4.0,40,3709.54,2225.73,2025-10-24
H&M,Pants,Synthetic,Ajio,Monsoon,3.9,30,959.92,671.95,2025-10-24
Flying Machine,Jeans,Cotton,Shoppers Stop,Summer,4.0,20,934.9,747.92,2025-10-24
Calvin Klein,Shirt,Cotton,Max Fashion,Summer,4.6,0,3205.32,3205.32,2025-10-24
W for Woman,Pants,Blend,Reliance Trends,Summer,4.2,15,1798.9,1529.07,2025-10-24
Vero Moda,Jeans,Viscose,Max Fashion,All-Season,3.4,40,2607.74,1564.64,2025-10-24
Puma,Dress,Denim,Reliance Trends,Monsoon,4.1,25,1612.14,1209.1,2025-10-24
Marks & Spencer,Shirt,Polyester,Flipkart,All-Season,4.1,15,2439.69,2073.74,2025-10-24
Flying Machine,Dress,Wool,Reliance Trends,All-Season,3.7,0,1890.73,1890.73,2025-10-24
Adidas,Polo,Wool,Flipkart,Monsoon,3.7,10,3268.31,2941.47,2025-10-24
AND,Skirt,Cotton,Reliance Trends,Summer,4.0,10,2143.62,1929.26,2025-10-24
HRX,Jacket,Polyester,Amazon India,Summer,3.8,30,2029.86,1420.9,2025-10-24
Louis Philippe,T-Shirt,Wool,Westside,Summer,4.0,15,1651.35,1403.65,2025-10-24
Calvin Klein,Hoodie,Cotton,Ajio,Monsoon,4.3,30,5742.59,4019.82,2025-10-24
US Polo Assn,T-Shirt,Cotton,Myntra,Monsoon,3.8,15,428.16,363.94,2025-10-24
Being Human,Coat,Blend,Lifestyle,Summer,3.8,15,2757.77,2344.11,2025-10-24
Being Human,Skirt,Linen,Max Fashion,All-Season,3.5,15,746.5,634.52,2025-10-24
Allen Solly,Skirt,Synthetic,Shoppers Stop,Monsoon,4.0,25,2488.67,1866.5,2025-10-24
Breakbounce,Hoodie,Wool,Lifestyle,Spring,3.7,10,2202.91,1982.62,2025-10-24
HRX,T-Shirt,Blend,Amazon India,Monsoon,3.5,15,733.46,623.44,2025-10-24
Calvin Klein,Skirt,Linen,Amazon India,Winter,4.6,30,2308.27,1615.79,2025-10-24
Puma,Coat,Silk,Flipkart,Winter,4.0,20,8785.0,7028.0,2025-10-24
Athena,Skirt,Wool,Amazon India,Monsoon,3.7,20,1363.17,1090.54,2025-10-24
Zara,Blazer,Blend,Reliance Trends,Summer,4.8,15,8242.23,7005.9,2025-10-24
Puma,Sweater,Linen,Flipkart,Summer,3.7,70,8685.61,2605.68,2025-10-24
HRX,Dress,Linen,Amazon India,Summer,4.0,30,2651.65,1856.15,2025-10-24
Forever New,Hoodie,Blend,Flipkart,Winter,3.9,40,2312.23,1387.34,2025-10-24
Mast & Harbour,Jacket,Blend,Westside,Monsoon,3.7,50,2175.13,1087.56,2025-10-24
Adidas,Coat,Viscose,Flipkart,Monsoon,4.1,30,4981.17,3486.82,2025-10-24
Raymond,Skirt,Denim,Amazon India,Summer,4.5,20,3433.55,2746.84,2025-10-24
Only,Dress,Wool,Amazon India,Winter,3.6,30,3369.61,2358.73,2025-10-24
Roadster,Dress,Synthetic,Lifestyle,Summer,4.0,50,979.13,489.57,2025-10-24
Raymond,Blazer,Blend,Westside,Spring,4.3,25,2655.93,1991.95,2025-10-24
Allen Solly,Jeans,Polyester,Shoppers Stop,Spring,4.2,25,1382.0,1036.5,2025-10-24
Vero Moda,Shirt,Leather,Shoppers Stop,All-Season,4.1,15,2750.95,2338.31,2025-10-24
Breakbounce,Pants,Synthetic,Myntra,Summer,3.9,40,2183.71,1310.23,2025-10-24
Mast & Harbour,Blazer,Synthetic,Shoppers Stop,Monsoon,3.6,0,1877.03,1877.03,2025-10-24
Peter England,Jacket,Blend,Lifestyle,Monsoon,3.5,40,3595.42,2157.25,2025-10-24
Van Heusen,Hoodie,Silk,Max Fashion,Winter,4.6,25,2164.1,1623.07,2025-10-24
Being Human,T-Shirt,Denim,Shoppers Stop,Summer,4.1,15,471.85,401.07,2025-10-24
AND,Coat,Cotton,Shoppers Stop,Monsoon,4.2,30,7899.84,5529.89,2025-10-24
Levi's,Polo,Polyester,Myntra,Spring,4.6,0,1193.45,1193.45,2025-10-24
Raymond,Sweater,Synthetic,Max Fashion,Summer,4.1,0,2047.32,2047.32,2025-10-24
Breakbounce,Pants,Blend,Max Fashion,Spring,3.7,10,1243.68,1119.31,2025-10-24
H&M,Hoodie,Synthetic,Amazon India,Spring,3.8,0,855.43,855.43,2025-10-24
Being Human,Hoodie,Synthetic,Ajio,Spring,3.6,15,670.54,569.96,2025-10-24
Zara,Skirt,Silk,Westside,All-Season,4.6,40,4965.7,2979.42,2025-10-24
Marks & Spencer,Pants,Blend,Flipkart,Summer,4.5,15,3721.21,3163.03,2025-10-24
Athena,T-Shirt,Blend,Westside,Summer,3.6,30,814.13,569.89,2025-10-24
Raymond,Skirt,Polyester,Max Fashion,Summer,4.1,10,2311.58,2080.42,2025-10-24
Being Human,Hoodie,Silk,Flipkart,Spring,3.5,30,2084.95,1459.46,2025-10-24
AND,Shirt,Viscose,Myntra,Summer,3.7,25,1986.03,1489.52,2025-10-24
Athena,Shirt,Polyester,Ajio,Spring,4.2,15,1042.32,885.97,2025-10-24
Forever New,T-Shirt,Wool,Flipkart,All-Season,3.7,0,891.51,891.51,2025-10-24
Breakbounce,Skirt,Wool,Reliance Trends,Monsoon,4.0,25,2054.04,1540.53,2025-10-24
Marks & Spencer,Polo,Denim,Max Fashion,Summer,4.6,40,2387.2,1432.32,2025-10-24
Zara,Jeans,Synthetic,Amazon India,Summer,4.2,40,7752.17,4651.3,2025-10-24
HRX,Chinos,Linen,Lifestyle,Summer,3.5,30,1341.59,939.11,2025-10-24
AND,Polo,Viscose,Shoppers Stop,Monsoon,3.6,25,1942.87,1457.15,2025-10-24
Marks & Spencer,Blazer,Wool,Reliance Trends,Spring,4.5,0,6341.16,6341.16,2025-10-24
Roadster,Sweater,Viscose,Reliance Trends,All-Season,3.6,40,595.28,357.17,2025-10-24
Flying Machine,Chinos,Polyester,Lifestyle,Summer,3.8,15,842.55,716.16,2025-10-24
Vero Moda,Skirt,Blend,Westside,Spring,3.5,10,2928.06,2635.26,2025-10-24
Roadster,Polo,Blend,Reliance Trends,Spring,3.7,15,521.76,443.5,2025-10-24
AND,Hoodie,Linen,Shoppers Stop,All-Season,3.9,15,1339.0,1138.15,2025-10-24
Allen Solly,Coat,Blend,Shoppers Stop,All-Season,4.0,20,7543.43,6034.74,2025-10-24
Calvin Klein,Jacket,Denim,Max Fashion,Spring,4.3,30,7228.97,5060.28,2025-10-24
Calvin Klein,Sweater,Polyester,Myntra,Winter,4.3,50,8913.15,4456.57,2025-10-24
Mast & Harbour,Blazer,Leather,Westside,Summer,4.2,10,3332.52,2999.27,2025-10-24
H&M,Jeans,Leather,Lifestyle,Summer,3.9,60,3182.9,1273.16,2025-10-24
Adidas,Jacket,Silk,Myntra,Summer,3.8,15,7492.24,6368.4,2025-10-24
Levi's,Pants,Wool,Lifestyle,All-Season,3.9,50,10441.97,5220.99,2025-10-24
Nike,Jacket,Wool,Westside,Summer,3.6,0,9590.27,9590.27,2025-10-24
Roadster,Dress,Silk,Max Fashion,Summer,4.1,25,1173.17,879.88,2025-10-24
Tommy Hilfiger,Hoodie,Blend,Westside,Spring,4.8,15,5273.52,4482.49,2025-10-24
Calvin Klein,Sweater,Cotton,Westside,All-Season,4.5,0,3221.12,3221.12,2025-10-24
Peter England,Sweater,Blend,Lifestyle,Winter,3.5,10,669.07,602.16,2025-10-24
Peter England,Shirt,Linen,Amazon India,Monsoon,3.9,20,1640.91,1312.73,2025-10-24
Puma,Skirt,Denim,Amazon India,All-Season,4.2,50,5128.25,2564.12,2025-10-24
Van Heusen,Jeans,Cotton,Reliance Trends,All-Season,4.5,20,1282.43,1025.94,2025-10-24
Being Human,Chinos,Denim,Flipkart,Spring,3.8,0,1029.04,1029.04,2025-10-24
Levi's,Jacket,Cotton,Shoppers Stop,Winter,4.0,25,4337.19,3252.89,2025-10-24
Louis Philippe,Polo,Synthetic,Shoppers Stop,Spring,4.5,25,1108.81,831.61,2025-10-24
Only,Chinos,Wool,Myntra,Winter,4.0,50,3613.85,1806.93,2025-10-24
Roadster,Sweater,Blend,Westside,Monsoon,3.8,15,1087.68,924.52,2025-10-24
Being Human,Blazer,Polyester,Reliance Trends,Winter,4.2,20,2367.42,1893.94,2025-10-24
Breakbounce,Dress,Silk,Lifestyle,Spring,3.8,30,4410.88,3087.62,2025-10-24
Louis Philippe,Jacket,Blend,Lifestyle,Summer,4.2,30,2533.22,1773.25,2025-10-24
Raymond,Hoodie,Cotton,Amazon India,All-Season,4.8,20,1723.54,1378.83,2025-10-24
Forever New,Chinos,Cotton,Amazon India,Summer,4.0,60,6759.51,2703.81,2025-10-24
Roadster,Coat,Denim,Amazon India,Winter,3.7,25,1566.77,1175.08,2025-10-24
Raymond,T-Shirt,Viscose,Flipkart,Spring,4.9,25,1670.72,1253.04,2025-10-24
Nike,Blazer,Polyester,Myntra,Monsoon,4.0,50,9662.75,4831.37,2025-10-24
Nike,Dress,Leather,Shoppers Stop,All-Season,3.7,0,3732.18,3732.18,2025-10-24
Only,Chinos,Viscose,Myntra,Monsoon,4.1,25,2211.26,1658.44,2025-10-24
Athena,Hoodie,Silk,Shoppers Stop,Monsoon,4.2,30,2440.13,1708.09,2025-10-24
Van Heusen,Coat,Synthetic,Flipkart,All-Season,4.1,20,3703.99,2963.19,2025-10-24
Being Human,Chinos,Denim,Ajio,Spring,3.9,25,1221.92,916.44,2025-10-24
Marks & Spencer,Shirt,Wool,Reliance Trends,Monsoon,4.1,30,6200.14,4340.1,2025-10-24
Forever New,Jeans,Denim,Shoppers Stop,Spring,3.8,20,4240.54,3392.43,2025-10-24
Louis Philippe,Blazer,Synthetic,Lifestyle,All-Season,4.0,15,2200.77,1870.66,2025-10-24
Nike,Pants,Wool,Flipkart,All-Season,3.8,20,4246.68,3397.35,2025-10-24
Raymond,Coat,Wool,Amazon India,Spring,4.3,25,13458.53,10093.89,2025-10-24
Nike,Polo,Denim,Lifestyle,All-Season,3.6,40,2606.28,1563.77,2025-10-24
Flying Machine,Sweater,Cotton,Westside,Spring,3.7,25,1703.02,1277.27,2025-10-24
Only,T-Shirt,Polyester,Lifestyle,Spring,4.1,25,1471.79,1103.85,2025-10-24
Forever New,Jeans,Viscose,Flipkart,Summer,4.1,20,3597.98,2878.39,2025-10-24
Forever New,Dress,Polyester,Westside,Summer,3.4,15,4975.89,4229.51,2025-10-24
W for Woman,Hoodie,Blend,Max Fashion,Summer,3.6,10,742.99,668.69,2025-10-24
W for Woman,T-Shirt,Blend,Ajio,Monsoon,3.9,20,915.71,732.57,2025-10-24
AND,Jacket,Cotton,Westside,Monsoon,3.9,15,4302.75,3657.34,2025-10-24
Mast & Harbour,Hoodie,Denim,Reliance Trends,Monsoon,4.1,15,676.24,574.81,2025-10-24
Breakbounce,Chinos,Polyester,Max Fashion,All-Season,3.9,0,572.51,572.51,2025-10-24
Zara,Shirt,Blend,Reliance Trends,Spring,4.8,0,2871.73,2871.73,2025-10-24
Allen Solly,T-Shirt,Polyester,Westside,Monsoon,4.2,15,513.88,436.8,2025-10-24
Roadster,Sweater,Synthetic,Ajio,All-Season,4.1,25,829.8,622.35,2025-10-24
Raymond,Skirt,Denim,Lifestyle,Spring,4.5,30,3711.83,2598.28,2025-10-24
AND,Chinos,Polyester,Amazon India,Spring,3.6,25,1065.12,798.84,2025-10-24
Roadster,Pants,Blend,Lifestyle,Winter,3.9,25,929.14,696.86,2025-10-24
Raymond,Chinos,Denim,Ajio,Summer,4.6,40,3774.99,2264.99,2025-10-24
Adidas,Jeans,Leather,Amazon India,Winter,3.4,10,6282.79,5654.51,2025-10-24
Being Human,Pants,Polyester,Reliance Trends,All-Season,3.7,20,901.32,721.05,2025-10-24
HRX,Shirt,Cotton,Lifestyle,Summer,3.8,60,2229.23,891.69,2025-10-24
W for Woman,Shirt,Cotton,Ajio,Winter,4.2,25,1353.97,1015.48,2025-10-24
Forever New,Blazer,Denim,Amazon India,Winter,3.5,20,3583.96,2867.17,2025-10-24
Breakbounce,Coat,Viscose,Max Fashion,Summer,3.5,30,3941.82,2759.27,2025-10-24
Wrogn,T-Shirt,Synthetic,Lifestyle,Monsoon,3.8,20,454.39,363.51,2025-10-24
Wrogn,Blazer,Linen,Amazon India,Summer,3.5,40,4238.14,2542.88,2025-10-24
Marks & Spencer,Coat,Polyester,Westside,Spring,4.7,15,4700.24,3995.21,2025-10-24
Zara,Shirt,Cotton,Shoppers Stop,Monsoon,4.4,30,6461.64,4523.15,2025-10-24
Louis Philippe,Skirt,Linen,Flipkart,All-Season,4.5,40,4164.44,2498.67,2025-10-24
Levi's,Sweater,Synthetic,Myntra,Monsoon,4.7,40,3902.81,2341.68,2025-10-24
US Polo Assn,Skirt,Wool,Westside,All-Season,3.6,15,1108.66,942.36,2025-10-24
W for Woman,Skirt,Silk,Myntra,All-Season,4.0,30,2533.09,1773.17,2025-10-24
Breakbounce,Blazer,Silk,Ajio,Summer,4.0,30,3968.58,2778.01,2025-10-24
Nike,Skirt,Cotton,Ajio,All-Season,4.1,40,6955.89,4173.53,2025-10-24
Marks & Spencer,Polo,Synthetic,Flipkart,Summer,4.7,15,2438.86,2073.03,2025-10-24
HRX,Polo,Polyester,Myntra,Monsoon,4.1,20,1146.5,917.2,2025-10-24
W for Woman,T-Shirt,Cotton,Lifestyle,Winter,4.0,20,1232.89,986.31,2025-10-24
US Polo Assn,Blazer,Cotton,Ajio,Monsoon,3.4,20,4330.96,3464.77,2025-10-24
Roadster,Shirt,Wool,Lifestyle,Monsoon,4.0,10,762.06,685.85,2025-10-24
Van Heusen,Jacket,Denim,Lifestyle,Summer,4.2,30,4046.09,2832.27,2025-10-24
Vero Moda,Pants,Cotton,Amazon India,Spring,3.9,30,1918.36,1342.85,2025-10-24
W for Woman,Blazer,Synthetic,Myntra,Monsoon,4.2,20,3362.3,2689.84,2025-10-24
Mast & Harbour,Skirt,Blend,Myntra,Winter,3.5,30,1324.82,927.38,2025-10-24
Wrogn,Polo,Cotton,Ajio,Monsoon,3.4,20,837.34,669.87,2025-10-24
H&M,Jacket,Silk,Amazon India,All-Season,3.9,30,4300.47,3010.33,2025-10-24
Forever New,Shirt,Wool,Myntra,Monsoon,4.2,40,2786.27,1671.76,2025-10-24
Allen Solly,Blazer,Blend,Westside,Monsoon,4.2,25,4749.69,3562.27,2025-10-24
Puma,Coat,Polyester,Amazon India,Monsoon,4.1,25,4315.58,3236.69,2025-10-24
Peter England,T-Shirt,Viscose,Ajio,Summer,3.6,20,732.7,586.16,2025-10-24
Breakbounce,Blazer,Blend,Lifestyle,Summer,3.9,40,5079.33,3047.6,2025-10-24
Louis Philippe,Polo,Wool,Shoppers Stop,Winter,4.1,15,2503.03,2127.58,2025-10-24
Adidas,Jeans,Silk,Westside,Spring,3.5,10,6730.23,6057.21,2025-10-24
Van Heusen,Chinos,Viscose,Lifestyle,Summer,3.9,0,1157.55,1157.55,2025-10-24
HRX,Hoodie,Linen,Shoppers Stop,Summer,4.0,15,1286.99,1093.94,2025-10-24
Zara,Sweater,Leather,Myntra,Summer,4.8,15,5682.68,4830.28,2025-10-24
Wrogn,Polo,Polyester,Amazon India,Monsoon,4.1,25,565.9,424.42,2025-10-24
Allen Solly,Skirt,Blend,Westside,Monsoon,4.2,25,3213.97,2410.48,2025-10-24
Flying Machine,Jacket,Silk,Shoppers Stop,Spring,3.8,10,3300.76,2970.68,2025-10-24
Only,Hoodie,Blend,Lifestyle,Spring,3.8,30,2155.84,1509.09,2025-10-24
Being Human,Chinos,Polyester,Amazon India,Spring,3.5,15,1137.59,966.95,2025-10-24
Flying Machine,Coat,Viscose,Ajio,Spring,3.9,50,3048.19,1524.1,2025-10-24
HRX,T-Shirt,Polyester,Max Fashion,Spring,3.4,50,478.93,239.47,2025-10-24
AND,Skirt,Wool,Lifestyle,All-Season,3.6,40,4794.57,2876.74,2025-10-24
Wrogn,Hoodie,Viscose,Reliance Trends,Winter,3.5,20,900.69,720.55,2025-10-24
Marks & Spencer,Sweater,Wool,Max Fashion,Monsoon,4.2,30,6126.58,4288.61,2025-10-24
Athena,Coat,Denim,Max Fashion,All-Season,3.4,25,2163.21,1622.4,2025-10-24
Adidas,Shirt,Wool,Westside,Winter,3.4,20,2720.43,2176.35,2025-10-24
Raymond,Coat,Wool,Shoppers Stop,Spring,4.6,10,7849.7,7064.73,2025-10-24
Van Heusen,T-Shirt,Wool,Flipkart,Winter,4.7,0,623.87,623.87,2025-10-24
H&M,T-Shirt,Viscose,Reliance Trends,All-Season,3.6,25,221.97,166.48,2025-10-24
Nike,Chinos,Blend,Lifestyle,Summer,4.2,30,4417.45,3092.22,2025-10-24
Roadster,Jeans,Viscose,Max Fashion,Summer,3.6,30,664.56,465.19,2025-10-24
Tommy Hilfiger,Chinos,Blend,Ajio,All-Season,4.2,20,8465.62,6772.49,2025-10-24
Mast & Harbour,Jeans,Blend,Shoppers Stop,Monsoon,3.5,10,664.17,597.75,2025-10-24
HRX,Pants,Denim,Myntra,Spring,4.1,20,1065.26,852.21,2025-10-24
Being Human,Chinos,Synthetic,Lifestyle,Monsoon,3.9,10,1752.86,1577.57,2025-10-24
Wrogn,Blazer,Cotton,Lifestyle,Summer,3.5,25,1876.78,1407.58,2025-10-24
Calvin Klein,Chinos,Silk,Westside,Spring,4.1,0,5322.59,5322.59,2025-10-24
Van Heusen,Polo,Viscose,Lifestyle,Monsoon,4.0,25,1522.37,1141.77,2025-10-24
Flying Machine,Shirt,Denim,Myntra,Monsoon,3.7,30,1343.0,940.1,2025-10-24
US Polo Assn,Shirt,Polyester,Westside,Spring,3.5,50,2776.76,1388.38,2025-10-24
Flying Machine,Skirt,Silk,Lifestyle,Spring,3.6,40,3029.05,1817.43,2025-10-24
Only,Pants,Blend,Reliance Trends,Summer,3.6,10,914.35,822.92,2025-10-24
H&M,Polo,Silk,Myntra,Monsoon,4.2,40,1091.74,655.04,2025-10-24
Levi's,Hoodie,Denim,Lifestyle,Summer,4.2,30,3273.95,2291.76,2025-10-24
Peter England,Jeans,Wool,Myntra,Monsoon,3.5,0,1649.45,1649.45,2025-10-24
Forever New,Skirt,Polyester,Flipkart,All-Season,3.7,10,2005.06,1804.56,2025-10-24
Allen Solly,Coat,Polyester,Lifestyle,Spring,4.6,15,5664.24,4814.6,2025-10-24
Vero Moda,Pants,Linen,Shoppers Stop,Winter,3.5,20,4293.98,3435.19,2025-10-24
Calvin Klein,Skirt,Wool,Max Fashion,All-Season,4.2,20,4616.62,3693.29,2025-10-24
Vero Moda,Dress,Blend,Shoppers Stop,All-Season,4.1,10,3120.44,2808.39,2025-10-24
Raymond,Coat,Wool,Reliance Trends,Monsoon,4.2,0,7130.49,7130.49,2025-10-24
Forever New,Polo,Silk,Lifestyle,Winter,4.0,30,3870.07,2709.05,2025-10-24
Only,Sweater,Silk,Myntra,Spring,4.2,60,6314.34,2525.74,2025-10-24
Vero Moda,Jacket,Denim,Myntra,Spring,3.7,20,4444.02,3555.22,2025-10-24
H&M,Sweater,Synthetic,Lifestyle,Monsoon,4.0,20,1764.24,1411.39,2025-10-24
Marks & Spencer,Chinos,Denim,Shoppers Stop,Summer,4.2,10,5796.11,5216.5,2025-10-24
Allen Solly,Hoodie,Blend,Flipkart,Monsoon,4.3,0,641.35,641.35,2025-10-24
HRX,Chinos,Cotton,Ajio,Winter,4.1,30,1200.03,840.02,2025-10-24
Forever New,Polo,Linen,Amazon India,All-Season,4.1,40,2023.54,1214.12,2025-10-24
Being Human,Hoodie,Blend,Ajio,All-Season,4.1,15,702.91,597.47,2025-10-24
Wrogn,Jeans,Silk,Ajio,Monsoon,3.7,30,2880.16,2016.11,2025-10-24
H&M,Sweater,Synthetic,Myntra,Summer,3.4,60,3395.5,1358.2,2025-10-24
Roadster,Jacket,Denim,Westside,Spring,3.9,25,1686.76,1265.07,2025-10-24
Roadster,Dress,Blend,Amazon India,Monsoon,3.6,25,1527.34,1145.5,2025-10-24
H&M,Coat,Polyester,Lifestyle,Monsoon,3.5,15,3751.15,3188.47,2025-10-24
Athena,Dress,Cotton,Ajio,Summer,3.5,15,1976.97,1680.42,2025-10-24
Wrogn,Coat,Wool,Max Fashion,All-Season,3.7,15,3768.37,3203.11,2025-10-24
Louis Philippe,Polo,Cotton,Lifestyle,Spring,3.9,25,2668.93,2001.7,2025-10-24
Being Human,Sweater,Polyester,Myntra,Summer,4.2,40,2407.48,1444.49,2025-10-24
Mast & Harbour,Jeans,Denim,Ajio,Summer,3.6,0,469.1,469.1,2025-10-24
Allen Solly,Pants,Polyester,Reliance Trends,All-Season,4.2,25,1670.53,1252.9,2025-10-24
W for Woman,Shirt,Linen,Reliance Trends,All-Season,3.8,15,1755.22,1491.93,2025-10-24
Raymond,Coat,Blend,Amazon India,Spring,4.7,10,6783.85,6105.46,2025-10-24
Allen Solly,Jeans,Cotton,Max Fashion,Summer,4.5,30,1402.09,981.46,2025-10-24
Zara,Sweater,Cotton,Ajio,All-Season,4.2,30,7037.16,4926.02,2025-10-24
Tommy Hilfiger,Hoodie,Linen,Westside,All-Season,4.4,20,5388.6,4310.88,2025-10-24
Puma,Pants,Leather,Lifestyle,All-Season,3.5,30,2862.18,2003.53,2025-10-24
H&M,Chinos,Synthetic,Flipkart,Summer,3.5,30,1766.74,1236.72,2025-10-24
Athena,Blazer,Blend,Ajio,Monsoon,3.8,10,1812.4,1631.16,2025-10-24
Zara,Hoodie,Blend,Max Fashion,Winter,4.7,50,3576.51,1788.25,2025-10-24
Levi's,Shirt,Synthetic,Westside,Monsoon,4.1,0,1293.62,1293.62,2025-10-24
Zara,Jeans,Linen,Myntra,Winter,4.3,15,2184.62,1856.92,2025-10-24
Raymond,Sweater,Cotton,Flipkart,Summer,4.2,20,3352.54,2682.03,2025-10-24
US Polo Assn,Chinos,Leather,Shoppers Stop,Monsoon,4.2,25,1911.79,1433.84,2025-10-24
Adidas,Shirt,Blend,Reliance Trends,All-Season,3.4,25,2840.46,2130.34,2025-10-24
AND,T-Shirt,Viscose,Shoppers Stop,All-Season,3.5,15,435.37,370.06,2025-10-24
Calvin Klein,Blazer,Wool,Lifestyle,Winter,4.8,25,8612.59,6459.45,2025-10-24
Zara,Coat,Wool,Shoppers Stop,All-Season,4.8,25,10257.42,7693.06,2025-10-24
Louis Philippe,Skirt,Leather,Shoppers Stop,Spring,4.4,0,4819.51,4819.51,2025-10-24
Raymond,Dress,Blend,Westside,Summer,4.5,30,3203.39,2242.37,2025-10-24
Breakbounce,Jeans,Polyester,Flipkart,Summer,4.0,40,1886.86,1132.12,2025-10-24
Roadster,T-Shirt,Leather,Amazon India,Summer,3.9,15,269.02,228.67,2025-10-24
US Polo Assn,Chinos,Synthetic,Shoppers Stop,Spring,3.8,0,2072.38,2072.38,2025-10-24
Vero Moda,Polo,Silk,Reliance Trends,Summer,4.2,0,1869.29,1869.29,2025-10-24
Wrogn,Polo,Synthetic,Reliance Trends,Summer,4.0,30,540.53,378.37,2025-10-24
Forever New,T-Shirt,Silk,Lifestyle,Winter,3.9,25,1512.8,1134.6,2025-10-24
Forever New,T-Shirt,Polyester,Flipkart,All-Season,3.5,25,1369.06,1026.79,2025-10-24
Breakbounce,Dress,Synthetic,Lifestyle,Spring,4.2,20,1514.12,1211.29,2025-10-24
Forever New,Coat,Synthetic,Reliance Trends,Monsoon,3.8,25,3997.27,2997.95,2025-10-24
Mast & Harbour,Hoodie,Blend,Westside,All-Season,4.1,10,490.13,441.12,2025-10-24
US Polo Assn,T-Shirt,Linen,Westside,All-Season,3.5,10,633.29,569.96,2025-10-24
Breakbounce,Coat,Cotton,Amazon India,All-Season,4.1,40,5467.11,3280.27,2025-10-24
